Id,MetadataComponentId,MetadataComponentName,MetadataComponentNamespace,MetadataComponentType,RefMetadataComponentId,RefMetadataComponentName,RefMetadataComponentNamespace,RefMetadataComponentType
000000000000000AAA,01p0M0000000uX4QAI,AX_AcceptCaseActionController,,ApexClass,01p300000000LTYAA2,SS_SecurityUtils,,ApexClass
000000000000000AAA,01p0M0000000uX4QAI,AX_AcceptCaseActionController,,ApexClass,01p30000001jL76AAE,AX_AcceptCaseController,,ApexClass
000000000000000AAA,01p0M0000000uyGQAQ,SfdcPublishedQuoteCleanup,,ApexClass,01p30000001Gb18AAC,SfdcPublishQuoteDao,,ApexClass
000000000000000AAA,01p0M0000000uyGQAQ,SfdcPublishedQuoteCleanup,,ApexClass,01p30000001Gb1AAAS,SfdcPublishQuoteDomain,,ApexClass
000000000000000AAA,01p0M00000016TyQAI,Test_voc_ltng_searchFormController,,ApexClass,01p0M00000016TvQAI,TestUtilityAccountImpacted,,ApexClass
000000000000000AAA,01p0M00000016TyQAI,Test_voc_ltng_searchFormController,,ApexClass,01p0M00000016TwQAI,TestUtilityOpportunityImpacted,,ApexClass
000000000000000AAA,01p0M00000016TyQAI,Test_voc_ltng_searchFormController,,ApexClass,01p0M00000016TxQAI,TestUtilityVOC_ltng_Wizard,,ApexClass
000000000000000AAA,01p0M00000016VLQAY,ServiceMgmtSharingRulesQueueableJob,,ApexClass,01p300000021uZLAAY,GEN_ApexSharingTriggerHelperClass,,ApexClass
000000000000000AAA,01p0M00000016VMQAY,ServicesMgmtProjectAggregateIterable,,ApexClass,01p0M00000016VNQAY,ServicesMgmtProjectAggregateIterator,,ApexClass
000000000000000AAA,01p0M00000016VOQAY,ServicesMgmtProjectSharingScheduler,,ApexClass,01p0M00000016VRQAY,servicesMgmtProjectSharingBatchClass,,ApexClass
000000000000000AAA,01p0M00000016VPQAY,ServicesMgmtTriggerBatchQueueHC,,ApexClass,01p300000021uZTAAY,PRV_ServiceMgmtProjectSharingHelperClass,,ApexClass
000000000000000AAA,01p0M00000016VPQAY,ServicesMgmtTriggerBatchQueueHC,,ApexClass,01p300000021uZcAAI,ServicesMgmtPsaException,,ApexClass
000000000000000AAA,01p0M00000016VQQAY,ServicesMgmtTriggerBatchQueueHCTest,,ApexClass,01p300000021ua6AAA,ServicesMgmtPsaTestHarness,,ApexClass
000000000000000AAA,01p0M00000016VRQAY,servicesMgmtProjectSharingBatchClass,,ApexClass,01p0M00000016VMQAY,ServicesMgmtProjectAggregateIterable,,ApexClass
000000000000000AAA,01p0M00000016VRQAY,servicesMgmtProjectSharingBatchClass,,ApexClass,01p0M000002EWnkQAG,GEN_InitialAssignmentTriggerBC,,ApexClass
000000000000000AAA,01p0M00000016VRQAY,servicesMgmtProjectSharingBatchClass,,ApexClass,01p300000021uZLAAY,GEN_ApexSharingTriggerHelperClass,,ApexClass
000000000000000AAA,01p0M00000016VRQAY,servicesMgmtProjectSharingBatchClass,,ApexClass,01p300000021uZcAAI,ServicesMgmtPsaException,,ApexClass
000000000000000AAA,01p0M00000016VVQAY,BatchPicnicSPUpdate,,ApexClass,01p300000000HNrAAM,Org62ErrorHandlingUtil,,ApexClass
000000000000000AAA,01p0M00000016VWQAY,BatchPicnicTerrResourceUpdate,,ApexClass,01p300000000HNrAAM,Org62ErrorHandlingUtil,,ApexClass
000000000000000AAA,01p0M00000016ZnQAI,BaseControllerManageRoles,,ApexClass,01p0M00000016ZqQAI,ContactRoleData,,ApexClass
000000000000000AAA,01p0M00000016ZnQAI,BaseControllerManageRoles,,ApexClass,01p0M00000016ZrQAI,ContactRoleType,,ApexClass
000000000000000AAA,01p0M00000016ZnQAI,BaseControllerManageRoles,,ApexClass,01p0M00000016ZvQAI,ContactRolesUtility,,ApexClass
000000000000000AAA,01p0M00000016ZnQAI,BaseControllerManageRoles,,ApexClass,01p0M00000016ZzQAI,ManageRolesInterfaceUtil,,ApexClass
000000000000000AAA,01p0M00000016ZnQAI,BaseControllerManageRoles,,ApexClass,01p0M00000016a0QAA,ManageRolesUtil,,ApexClass
000000000000000AAA,01p0M00000016ZnQAI,BaseControllerManageRoles,,ApexClass,01p0M000002FIgGQAW,AppStoreException,,ApexClass
000000000000000AAA,01p0M00000016ZoQAI,BaseControllerSelectContact,,ApexClass,01p0M000001LQzOQAW,AppConfig,,ApexClass
000000000000000AAA,01p0M00000016ZpQAI,BaseControllerSelectRole,,ApexClass,01p0M00000016ZrQAI,ContactRoleType,,ApexClass
000000000000000AAA,01p0M00000016ZqQAI,ContactRoleData,,ApexClass,01p0M00000016ZrQAI,ContactRoleType,,ApexClass
000000000000000AAA,01p0M00000016ZsQAI,ContactRolesAsyncUtility,,ApexClass,01p0M00000016ZqQAI,ContactRoleData,,ApexClass
000000000000000AAA,01p0M00000016ZsQAI,ContactRolesAsyncUtility,,ApexClass,01p0M00000016ZrQAI,ContactRoleType,,ApexClass
000000000000000AAA,01p0M00000016ZsQAI,ContactRolesAsyncUtility,,ApexClass,01p0M00000016ZuQAI,ContactRolesFactory,,ApexClass
000000000000000AAA,01p0M00000016ZsQAI,ContactRolesAsyncUtility,,ApexClass,01p0M00000016ZvQAI,ContactRolesUtility,,ApexClass
000000000000000AAA,01p0M00000016ZsQAI,ContactRolesAsyncUtility,,ApexClass,01p0M00000266XXQAY,ContractFields,,ApexClass
000000000000000AAA,01p0M00000016ZsQAI,ContactRolesAsyncUtility,,ApexClass,01p0M00000266XYQAY,ContractRecordData,,ApexClass
000000000000000AAA,01p0M00000016ZsQAI,ContactRolesAsyncUtility,,ApexClass,01p0M00000266fVQAQ,ServiceFieldSchema,,ApexClass
000000000000000AAA,01p0M00000016ZsQAI,ContactRolesAsyncUtility,,ApexClass,01p300000000HNrAAM,Org62ErrorHandlingUtil,,ApexClass
000000000000000AAA,01p0M00000016ZsQAI,ContactRolesAsyncUtility,,ApexClass,01p3y0000026iyQAAQ,LicenseKeyContactRoleUtility,,ApexClass
000000000000000AAA,01p0M00000016ZtQAI,ContactRolesException,,ApexClass,01p0M00000016ZvQAI,ContactRolesUtility,,ApexClass
000000000000000AAA,01p0M00000016ZuQAI,ContactRolesFactory,,ApexClass,01p0M00000016ZqQAI,ContactRoleData,,ApexClass
000000000000000AAA,01p0M00000016ZuQAI,ContactRolesFactory,,ApexClass,01p0M00000016ZrQAI,ContactRoleType,,ApexClass
000000000000000AAA,01p0M00000016ZuQAI,ContactRolesFactory,,ApexClass,01p0M00000016ZvQAI,ContactRolesUtility,,ApexClass
000000000000000AAA,01p0M00000016ZvQAI,ContactRolesUtility,,ApexClass,01p0M00000016ZqQAI,ContactRoleData,,ApexClass
000000000000000AAA,01p0M00000016ZvQAI,ContactRolesUtility,,ApexClass,01p0M00000016ZrQAI,ContactRoleType,,ApexClass
000000000000000AAA,01p0M00000016ZvQAI,ContactRolesUtility,,ApexClass,01p0M00000016ZtQAI,ContactRolesException,,ApexClass
000000000000000AAA,01p0M00000016ZvQAI,ContactRolesUtility,,ApexClass,01p0M00000016ZuQAI,ContactRolesFactory,,ApexClass
000000000000000AAA,01p0M00000016ZvQAI,ContactRolesUtility,,ApexClass,01p0M00000016gNQAQ,ContactRolesSchedulableAsyncUtility,,ApexClass
000000000000000AAA,01p0M00000016ZvQAI,ContactRolesUtility,,ApexClass,01p0M000001kOgWQAU,SObjectServiceRequest,,ApexClass
000000000000000AAA,01p0M00000016ZvQAI,ContactRolesUtility,,ApexClass,01p0M000001kOgXQAU,SObjectServiceResponse,,ApexClass
